auth/128699	Socialdepartementet
auth/159704	Kronologiskt ämnesord sao 1870-1940 (tredje republiken, Frankrike)
auth/355040	Kronologiskt ämnesord sao Före 1500
auth/138859	Ämnesord med underindelning Adel--historia
auth/208571	Anders Svensson
auth/213488	Anders Svensson
auth/7673399	Anders Svensson
auth/382890	Anders Svensson

auth/196943	Platon
auth/184982	Eliot T.S.
auth/400130	Gustafsson, Mats
auth/400131	Gustafsson, Mats (tekniker)
auth/399745	Lindeman, Julia
auth/208633	Gustav, II Adolf
auth/393703	Berzelius, Jana, (fiktiv gestalt)
auth/229496	Alexander den store
auth/398398	Smith, A. D.
auth/180036	Birgitta 1303-1373 helgon
auth/398469	Felipe VI kung av Spanien
auth/207179	Sokrates
auth/355374	Sokrates 2
auth/93294	Sorokin, Vladimir
auth/402977	Pettersson, Agneta, 1953
auth/205570	Pettersson, Agneta, 1959
auth/310143	Pettersson, Agneta, 1960
auth/357832	1603-1714 (Stuarttiden, Storbritannien)
auth/355453	700-talet-510 f.Kr. (kungatiden, Romerska riket)
auth/353469	GenreForm (Kataloger i saogf, ingår i fack-samling))
auth/350784	GenreForm (Brevromaner i saogf, ingår i skon-samling)
auth/373515	GenreForm (Hårdrock i saogf, ingår i musik-samling)
auth/298219	GenreForm (Kataloger i TGM)
auth/243987	GenreForm (Kapitelböcker i barngf)
auth/405489	Talabani, Jalal, ISNI i #2?, 245 #s och #t synliga?
auth/405890	Otáhal, Milan, 1928-2017
auth/405889	Podiven (gruppseudonym), tillägg inom parentes synligt?
auth/405893	Příhoda, Petr, 1939-2014
auth/405892	Pithart, Petr, 1941-
auth/403607	Österlens folkhögskola
auth/399140	Windsors (family w 376)
auth/401178	Sachsen-Coburg-Gotha (family w 376)
auth/231975	Frank, Jacob (w 370)
auth/386191	Perez, Jimmy (w 370)
auth/398381	Tarabotti, Alexia (w 368)
auth/167868	Theseus (mytisk gestalt) (w 368)
auth/393805	Dillman (w 368)
auth/183024	Cato, Anders (w 370)
auth/192570	Kant, Immanuel (w 370)

bib/22618427	HLD identifierare med specialtecken '/'
bib/22196000	Known manual test case for 007:cr...
bib/11279947	[Akademisk avhandling = Text,Monograph,Thesis] Neural correlates of individual differences in personality and intelligence
bib/16309110	[Bilder = ?,?,?] Julkalendern 2013
bib/14747945	[Datorspel (TV-spel) = Multimedia,Monograph,Game] Bioshock
bib/11773502	[Elektroniska resurser,Direktåtkomst = ?,?,?] Ritningsläsning
bib/11454989	[Elektroniska resurser,Fjärråtkomst,Fortlöpande resurser,Tidskrift - elektronisk och tryckt manifestation = ?,?,?] Tjugofyra7
bib/12723726	[Elektroniska resurser,Fjärråtkomst,Fortlöpande resurser,Databas = ?,?,?] Den store danske
bib/4420358	[Elektroniska resurser,Fjärråtkomst,Fortlöpande resurser,Databaslistor = ?,?,?] Artbibliographies modern
bib/8595277	[Elektroniska resurser,Fjärråtkomst,Fortlöpande resurser,Webbplats= ?,?,?] ABBA
bib/13689215	[Elektroniska resurser,Fjärråtkomst,Monografiska resurser,Maskinellt skapade DiVA-poster= ?,?,?] The sociality of gaming
bib/11807128	[Elektroniska resurser,Digitaliseringar= ?,?,?] Bacchanaliska qwäden
bib/9102438	[Fortlöpande resurser,Tidskrift/årsbok = ?,?,?] Arena
bib/9773188	[Fortlöpande resurser,Integrerande resurs = ?,?,?] Socialavgifter
bib/8351919	[Fortlöpande resurser,Integrerande resurs = ?,?,?] Socialavgifter supplement
bib/10393902	[Kartor = Cartography,ComponentPart] Karta över Skandinavien
bib/11850823	[Ljud- och talböcker = Audio,Monograph] Onskan
bib/1997018	[Musiktryck = NotatedMusic,Monograph] Solo piano [Musiktryck] / Philip Glass
bib/13538239	[Samlingsposter = ?,?,?] Kungliga biblioteket i Stockholm - samling av vykort
bib/11714976	[Samlingsverk = ?,?,?] Det var en gång
bib/11418710	[Skolböcker = ?,?,?] Dags!
bib/16092548	[Spelfilmer = ProjectedImage,Monograph,Videorecording] Återträffen
bib/8549011	[Bidrag i tidskrift = ?,?,?]
bib/8550505	[Bidrag i årsbok = ?,?,?]
bib/9062707	[Bidrag i monografi (samlingsverk) med titel (=245) som huvuduppslag = ?,?,?]
bib/8816214	[Bidrag i monografi med person (=100) som huvuduppslag = ?,?,?]
bib/9186194	[Bidrag i monografi med institution (=110) som huvuduppslag = ?,?,?]
bib/8425289	[Bidrag i monografi med konferens (=111) som huvuduppslag = ?,?,?]
bib/10131357	[Bidrag i monografi i serie, där man i artikelposten vill uttrycka monografins serietillhörighet = ?,?,?]
bib/10150410	[Bidrag i en monografisk årgång av en årsbok = ?,?,?]
bib/2317684	[Bidrag i ett monografiskt häfte av en tidskrift = ?,?,?]
bib/2267872	[Bidrag i dagstidning = ?,?,?]
bib/8434927	[Recension med egen titel = ?,?,?]
bib/9461508	[Recension utan egen titel = ?,?,?]
bib/8463462	[Samlingsrecension med egen titel = ?,?,?]
bib/8836613	[Samlingsrecension utan egen titel = ?,?,?]
bib/8435255	[Bidrag med efterföljande repliker där varje inlägg får en egen post = Text,ComponentPart]
bib/8435491	[-||-]
bib/8435505	[-||-]
bib/8435499	[-||-]
bib/8435506	[-||-]
bib/8595377	[–||– förenklat sätt att notera repliker som följer på artikel/recension = ?,?,?]
bib/10796401	subject.broader:historia
bib/11311266	0-4 sui zhineng xunlian baike quanshu / Zhang Qian
bib/11357644	Leadership in organizations / Gary Yukl
bib/11601582	Vägkartan. Norra Sverige [Elektronisk resurs] : DVD-ROM för Windows & Windows Mobile / [producerad av] Lantmäteriet
bib/11691597	Översiktsplan för nationalstadsparken [Kartografiskt material] : stockholmsdelen : antagen av kommunfullmäktige, 20 april 2009
bib/11850823	Ondskan [Ljudupptagning] / Jan Guillou
bib/11911628	I havsbandet [Elektronisk resurs] / [August Strindberg] ; texten redigerad och kommenterad av Hans Lindström
bib/12035894	100 greatest Western themes [Ljudupptagning]
bib/12289439	[Recension av: Fornaldarsagaerne]
bib/1234	Water and water pollution handbook. Vol. 2
bib/12384646	Extreme killing : understanding serial and mass murder / James Alan Fox, Jack Levin
bib/12732969	Analysis for Science, Engineering and Beyond [Elektronisk resurs] : The Tribute Workshop in Honour of Gunnar Sparr held in Lund, May 8-9, 2008 / edited by Kalle Åström, Lars-Erik Persson, Sergei D. Silvestrov
bib/12743333	Att bryta ny marc [Elektronisk resurs] : LIBRIS 40 : en jubileumsskrift / [redaktör: Barbro Thomas]
bib/13531679	Där ute i mörkret [Elektronisk resurs]
bib/13543149	Gender / Harriet Bradley
bib/13584984	The lie of the land : gender, farm work, and land in a rural Vietnamese village / Cecilia Bergstedt
bib/13884869	Big data : a revolution that will transform how we live, work, and think / Viktor Mayer-Schönberger and Kenneth Cukier
bib/13973072	Essays on unemployment insurance design / Susanne Ek
bib/14006223	har subject.broader.prefLabel:Aktiemarknad
bib/2912361	har relation.@type=Work, relation.uniformTitle:Metamorphoses (auth/345526)
bib/3222798	Otto Edvard Carlsund : skeppsbyggmästare, maskinkonstruktör och industriledare
bib/3678656	Blondie : roar alla! [serial]
bib/4582889	The call of Cthulhu & other weird stories / H. P. Lovecraft
bib/48077	Länkar till Pengar auth/156486 via subject
bib/5067018	Billy Liar / Keith Waterhouse. The loneliness of the long-distance runner / Alan Sillitoe
bib/5299954	Erzählte Verwandlung : eine Poetik epischer Metamorphosen (Ovid - Kafka - Ransmayr) / Friedmann Harzer
bib/6128247	Lie of the land : earth body material / Marina Abramović ... [et al.] ; with essays by Paul Carter, Elaine Scarry ; curated by Antonia Payne
bib/664491	(länkar till Tove Jansson auth/19153 via attributedTo)
bib/7149593	Anteckningar från en ö / Tove Jansson, Tuulikki Pietilä
bib/816912	Mumintrollet (huvudpost; länkar till Lars Jansson auth/191493 via contributorList)
bib/816913	Mumintrollet (del 1)
bib/8261338	Kalle Anka & C:o (Serie)
bib/827126	Mumintrollet (länkar till Tove Jansson auth/19153 som attributedTo)
bib/8558889	Encyclopedia of education
bib/8211184	Nationalencyclopedin (många beståndsposter)
bib/12739812	person och institution
bib/13457927	Kjellström, Rolf: Nybyggarliv i Vilhelmina med person + 2 institutioner. Har subject.broader.prefLabel:historia
bib/14229095	Tolv skånska slott = Twelve castles in Scania - bok på svenska samt engelsk översättning av densamma (parallelltext)
bib/13828318	Gustaf med Guds nåde etc (Handskrift med lång titel)
bib/2579165	Dissertatio historica de banno majori et minori (Gammal svensk avhandling)
bib/3297563	Öfwer-Ståthållare-Embetets Kungörelse (Gammal svensk kungörelse)
bib/11807650	Upptäck Dalarnas bergslag [Kartografiskt material]
bib/11808539	Discover the mining district of Dalarna [Kartografiskt material]
bib/7400378	Androidens drömmar (Verk med originaltitel)
bib/10299827	Bladerunner [Videoupptagning]
bib/11925719	Do Androids Dream of Electric Sheep? : filmed as Blade Runner
bib/10600578	The Codex Gigas : a revised version of the Georg Svensson lecture delivered at The National Library of Sweden
bib/8594660	Wagonmaster; directed by John Ford (multiple 007:s)
bib/10630108	Grünsee. Brachland : zwei Romane /Christoph Geiser (multiple 006:s)
bib/12629738	MTM-post med rå annan MARC i 886
bib/15211258	Después de Lucía [Videoupptagning] = Smärtgränsen
bib/16254390	Runner runner [Videoupptagning]
bib/15203202	WWE 2k14 [Elektronisk resurs]
bib/14857863	Angry birds star wars [ Elektronisk resurs]
bib/16234138	Plants vs. zombies garden warfare [Elektronisk resurs]
bib/11521151	a Elder scrolls.n 4, ,p Oblivion h [Xbox360]
bib/11518540	a Castlevania b curse of darkness h [Playstation 2]
bib/13602899	a Borderlands 2 h [Elektronisk resurs] b TV-spel (Playstation 3)
bib/11553680	Viola da gamba sonatas [Ljudupptagning] / Johann Sebastian Bach
bib/8260527	Illustrerad Vetenskap (Tidskrift)
bib/8264634	Populär Historia (Tidskrift)
bib/136803	Kalla Kårar (Skriftserie)
bib/14704146	The Fellowship of the Ring
bib/11472439	Sagan om ringen - Härskarringen [Video (DVD)]
bib/11849681	A clockwork orange [Ljudupptagning]
bib/1901387	Electric counterpoint [Musiktryck]
bib/10233308	Arvo Pärt [Videoupptagning]
bib/5485896	The piano [Musiktryck]
bib/12536611	Trasig 010
bib/9201665	Ica förlagets världsatlas [Kartografiskt material]
bib/8932622	Cosmographia [Kartografiskt material]
bib/20098974	Globus terraqueus [Kartografiskt material]
bib/2937744	Karta öfver norra stjärnhimmeln [Kartografiskt material]
bib/11221026	Vorstellung der Sonnen oder Erd Finsternis... [Kartografiskt material
bib/10601945	Tabulae de collectionibus archivi Raygradensis [kartografiskt material]
bib/14608758	The biology of cancer / Robert A. Weinberg 2nd ed.
bib/10202722	The biology of cancer / Robert A. Weinberg, cd-rom
bib/13565021	Åren i Paris : [roman] / Paula McLain ; översättning av Isa Lybeck
bib/14744539	Carmen och döden : [en Konrad Sejer-deckare] /Karin Fossum ; översättning: Margareta Järnebrand
bib/739491	(Blondie (1951)) [seriell]
bib/575085	(Nya Blondie) [seriell]
bib/3618984	(Kul med Blondie) [seriell]
bib/3621577	(Blondie & Karl-Alfred) [seriell]
bib/8257615	Fornvännen (print -- notera MARC-fält 599=Indexeringslänk) [seriell]
bib/4346444	Fornvännen (online) --- här även med digitaliseringsflagga (042#9=DIGI) [seriell]
bib/3415275	International journal of gynaecology and obstetrics (print) [seriell]
bib/9033354	International journal of gynaecology and obstetrics (online) [seriell]
bib/3708524	Acta linguistica Hafniensia (utländsk tidskrift) [seriell]
bib/14608651	International Journal of Engineering Innovations and Research (utländsk tidskrift, maskinellt genererad rudimentär post för e-tidskrift, länkmål till tryckt version saknas i Libris) [seriell]
bib/3673618	Beiträge zum ausländischen und internationalen Privatrecht (En seriehuvudpost, där delarna är särkatalogiserade och behandlas som vanliga monografier (mindre vanligt att man gör sammanhållande huvudposter idag)) [seriell]
bib/13906314	Jag vet vem du är [Kombinerat material] / av Kerstin Erlandsson-Svevar (textbok, mp3-CD ; barn/ungdom)
bib/14218500	Mindfulness i svåra situationer [Kombinerat material] : träningsprogram / Igor Ardoris
bib/14786209	Guldfisken [Kombinerat material] / Susanna Alakoski
bib/14130458	Från tunnelbana till fåtölj [Kombinerat material] : en bilderbok för vuxna (Christers labbpost; har RDA-fält)
bib/8997956	Kart- & bildteknik = Mapping and image science / Swedish Cartographic Society / Kartografiska sällskapet [seriell]
bib/12683491	Kammarmusik-nytt : Kammarmusikförbundets tidskrift [seriell]
bib/4112475	Nordisk museologi [seriell]
bib/3413533	Hemmets Journal [seriell]
bib/1513208	Styrelser och revisorer i Sveriges börsföretag / Anneli Sundin, Sven-Ivan Sundqvist [seriell]
bib/11798968	Post kopplad till exempel på bestånd
bib/16583077	Post kopplad till exempel på bestånd
bib/14854711	Post kopplad till exempel på bestånd
bib/12191039	Post kopplad till exempel på bestånd
bib/335431	Post kopplad till exempel på bestånd
bib/2944641	Post kopplad till exempel på bestånd
bib/2413961	Post kopplad till exempel på bestånd
bib/14805941	Post kopplad till exempel på bestånd
bib/1858131	Post kopplad till exempel på bestånd
bib/8261414	Post kopplad till exempel på bestånd
bib/568184	Post kopplad till exempel på bestånd
bib/10380624	Post kopplad till exempel på bestånd
bib/7274677	Post kopplad till exempel på bestånd
bib/13654881	Welcome to my nightmare
bib/14808379	Nya nordiska operahus
bib/12384272	Steve jobs - en biografi
bib/9658145	PO Enquist - Livläkarens besök
bib/12453545	Anders Sundelin - Den magiska cirkeln
bib/14011798	John Grisham - Svindlaren (inb)
bib/15177759	John Grisham - Svindlaren (pocket)
bib/14211216	Kalle Anka & CO - Den kompletta årgången 1968 del 4
bib/16896174	Exempel på SUPPRESSRECORD
bib/16897174	Austerity Bites
bib/17178420	Polska - Kobiety na plaży / ‡c Tove Alsterdal ; przekłożyła Beata Walczak-Larsson
bib/17275447	Polska -  Andrzej Bobkowski wielokrotnie : ‡b w setną rocznicę urodzin pisarza / ‡c pod red. Krzysztofa Ćwiklińskiego, Andrzeja Stanisława Kowalczyka i Macieja Urbanowskiego.
bib/16022752	Norska - Roser, kyss og døden / ‡c Maria Lang ; oversatt av Peter Grøn ; bearbeidet av Kari Wærum
bib/14857774	Armeniska -  Kʻamin uṛenineri mej / ‡c Kʻenetʻ Grehem ; Tʻargmanutʻyuně anglerenitsʻ, Sona Seferyani, nkarazardumnerě Ara Baghdasaryani.
bib/17534239	Arabiska -  ʻĀlam Ṣūfī : ‡b riwāyah : hawla tārīkh al-falsafah / ‡c Jūstāyn Ghārdir ; al-naṣṣ al-ʻarabī bi-qalam: Ḥayah al-Ḥuwayyik ʻAtīyah
bib/16556937	Hindi -  Bhārata : ‡b āvaśyaka jānakāriyāṃ / ‡c lekhikā, Nikitā Cakravartī.
bib/14975876	Vietnamesiska - Tác động của các hiện tượng thời tié̂t cực đoan ở Bảo lâm, Việt Nam : ‡b Với các ý tưởng thích ứng bié̂n đỏ̂i khí hậu / ‡c Annika Carlsson-Kanyama, Phuong Bui, Henrik Carlsen, Dat Ngan Thuy and Lan Nguyen Thi Ngoc
bib/16939890	Vietnamesiska - Ké̂t nó̂i nghệ thuật và di sản = Connecting art and heritage / ‡c [edited by] Đông Vĩnh, Nguyẽ̂n Thanh Mai, Bùi Thị Thanh Mai
bib/12230456	Vietnamesiska - Cô gái đùa với lửa : ‡b tiẻ̂u thuyé̂t / ‡c Stieg Larsson ; người dịch, Trà̂n Đĩnh.
bib/4763285	Subcript - H₂O : ‡b a biography of water / ‡c Philip Ball
bib/8040794	Superscript - ¹H and ¹³C NMR in the study of the configurations, conformations, and ring-chain tautomerism of alkyl-substituted 1,3-oxazolidines / ‡c by Kari Aaljoki
bib/10144069	Uzbekiska - Amir Khusrav Deḣlaviĭ asarlariga ishlangan rasmlar = ‡b Miniati︠u︡ry k proizvedenii︠a︡m Amira Khosrova Dekhlevi = Miniatures, illuminations of Amir Hosrov Dehlevis works
bib/16747788	Rumänska - Rămâne de înlăturat urmările mentalităţii comuniste! : ‡b interviurile mele cu Majestatea Sa Regele Mihai şi alte texte legate de Casa Regală a României, pe care le-am publicat iniţial în Curierul Românesc / ‡c Silvia Constantinescu
bib/733311	Isländska - Pétur G. Guðmundsson og upphaf samtaka alþýðu : ‡b viðtöl við Þorstein Pétursson / ‡c Haraldur Jóhannsson
bib/11875183	Isländska - Stúlkan sem lék sér að eldinum / ‡c Stieg Larsson ; þýðandi: Halla Kjartansdóttir
bib/17039013	Nordsamiska - Akta árran, maŋgga muitalusa : ‡b nuorat ráhkadit gaskavuođaid ovddit buolvvaid sámi sajiide / ‡c Ylva Jannok Nutti & Kajsa Kuoljok ; [jorgalan davvisámegillii: Miliana Baer]
bib/14010993	Spanska - La chica que soñaba con una cerilla y un bidón de gasolina / ‡c Stieg Larsson ; traducción de Martin Lexell y Juan José Ortega Román
bib/11935279	Bulgariska - Momičeto, koeto si igraeše s ogănja / ‡c Stig Laršon ; prevela ot švedski Neda Dimova-Brenstrʹom
bib/11680630	Estniska - Tüdruk, kes mängis tulega / ‡c Stieg Larsson ; rootsi keelest tõlkinud Kadri Papp ; [toimetanud Kadi-Riin Haasma ; kujundanud Britt Urbla Keller]
bib/12455173	Koreanska - Pul ŭl kajigo nonŭn sonyŏ : ‡b Sŭt'igŭ Larŭson changp'yŏn sosŏl / ‡c Im Ho-gyŏng omgim.
bib/11887342	Lettiska - Meitene, kas spēlējās ar uguni / ‡c Stīgs Lārsons ; no zviedru valodas tulkojusi Dace Deniņa
bib/480417	Franska - Les œuvres complètes. ‡n 41, ‡p Œuvres critiques. ‡p Le roman experimental
bib/3398365	Franska - Œuvres complètes. ‡n T. 14, ‡p Art poétique françois = Les œuvres
bib/17063241	Tyska - Lesefutter für Groß und Klein : ‡b Kinder- und Jugendliteratur nach 2000 und literarisches Lernen im medienintegrativen Deutschunterricht / ‡c Petra Josting, Ricarda Dreier (Hgg.)
bib/10724158	Latin (bok från 1640)... cùm divinâ disponente providentiâ, ex clementissimo s. r. m:tis indultu, admodum reverendus & præcellens vir dn. Laurentius Paulinus Gothus ... sub magnificentissimo, perillustris, celsi ac generosi domini, dn. Magni Gabrielis de la Gardie comitis de Lecköö, l. bar. de Eekholmen, domini de Hapsal, Dagdön, Kolta, Kydha, Runßön, &c. Rectoratu Academico, 4. non. junij anni post natum Mundi salvatorem M DC XL. Summis dignè oblatis, solenniter investiret honorîbus ac sacro sanctæ theologiæ doctores, Ubsaliæ Sveonum, inauguraret.
bib/3313799	Sikaren : Sundbybergs IK:s medlemstidning
bib/3678902	Gigant : Stålmannens nya jätte-tidning
bib/12077095	Livet deluxe / Jens Lapidus
bib/10729106	Snabba Cash / Jens Lapidus
bib/8354559	Agnes Cecilia / Maria Gripe
bib/13924314	Svek / Karin Alvtegen
bib/16507496	Kvicksand / Henning Mankell
bib/9803785	Brandbilen som försvann / Sjöwall, wahlöö
bib/9803782	Mannen som gick upp i rök / Sjöwall, wahlöö
bib/10671770	The girl with the dragon tattoo / Stieg Larsson
bib/11205952	Män som hatar kvinnor / Stieg Larsson
bib/10378251	Luftslottet som sprängdes / Stieg Larsson
bib/10261758	 Flickan som lekte med elden / Stieg Larsson
bib/18587962	Tiggaren / Sofie Sarenbrant
bib/19160698	Tiggaren / Sofie Sarenbrant (förhandspost)
bib/19289373	Tiggaren / Sofie Sarenbrant (tal)
bib/11468666	Hypnotisören : kriminalroman / Lars Kepler
bib/19126652	Det andra ansiktet : [kriminalroman] / Mari Jungstedt
bib/15177882	Skuggpojken : thriller : [en Danny Katz-thriller] / Lucifer
bib/9705763	Da Vinci-koden : [spänningsroman] / Dan Brown
bib/7652333	Rosens Namn / Umberto Eco
bib/12137272	Hjälten med tusen ansikten / Joseph Campbell
bib/12037608	Ödets svärd / Andrzej Sapkowski
bib/9951617	Narrens öde / Robin Hobb ; översättning av Lena Karlin
bib/10162816	Narrens öde / Robin Hobb ; översättning av Lena Karlin [Ny utg.]
bib/7154196	Avalons dimmor / Marion Zimmer Bradley ; [översättning: Roland Adlerberth]
bib/10415393	Ett fat amontillado / Edgar Allan Poe
bib/7775615	Hemsökelsen / Shirley Jackson
bib/12736884	Skuggan på världens botten och andra berättelser / Thomas Ligotti
bib/1167865	Frankenstein / Mary Shelley
bib/601048	Fahrenheit 451 / Ray Bradbury
bib/7153476	Kristin Lavransdotter / av Sigrid Undset
bib/8999794	Mio Min Mio / Astrid Lindgren
bib/7237796	Bröderna Lejonhjärta / Astrid Lindgren
bib/7234965	Ronja rövardotter / Astrid Lindgren
bib/18546404	Alice i Underlandet / av Lewis Carroll ; i översättning av Åke Runnquist ; med illustrationer av Tove Jansson
bib/17619536	Alice i Underlandet / Lewis Carroll ; med förord av Lydia Wistisen ; översättning av Harry Lundin
bib/12345451	Songs from Alice : Alice in wonderland & Through the looking-glass / words by Lewis Carroll set to music by Don Harper with illustrations by Charles Folkard.
bib/11472526	Alice i Underlandet [Video (DVD)] = Alice in Wonderland / regi: Clyde Geronimi, Wilfred Jackso
bib/11287326	Alice i Underlandet [Ljudupptagning] / Lewis Carroll
bib/1390474	Alice in Wonderland and Through the looking-glass
bib/9826870	Alice i Underlandet ; Spegellandet / Lewis Carroll ; med originalillustrationer av John Tenniel ; översättning: Harry Lundin
bib/12141831	Alice in Wonderland / adapted by T.T Sutherland ; based on the screenplay
bib/7107097	Alice's adventures in Wonderland : an 1865 printing re-described and newly identified as the...
bib/5744697	The Tenniel illustrations to the Alice books / by Michael Hancher
bib/12123895	The Semantic Web – ISWC 2010 [elektronisk resurs]
bib/12123896	The Semantic Web – ISWC 2010 [elektronisk resurs]
bib/11549175	Walt Disney's Peter Pan [Ljudupptagning] / översättning: Monica Forsberg ; regi: Monica Forsberg ; [musik]
bib/8376251	Peter Pan : Disney's tillbaka till landet Ingenstans
bib/11788294	Kartografi (modell)
bib/12219281	Kartografi (vanlig)
bib/13603898	Kartografi (fjärranalysbild)
bib/12126533	glob
bib/17194401	Multimedier/el resurser (Nintendo 3DS)
bib/14201681	Multimedier/el resurser (xbox)
bib/11480986	(kartor)
bib/10082527	(ljudbok)
bib/16528519	Peter Pan [Elektronisk resurs] (Talbok med text)
bib/9551414	Peter Pan and Wendy / J.M. Barrie Centenary ed. /illustrated by Robert Ingpen.
bib/19091448	Codex Gigas
bib/20821675	Codex Gigas (digitaliserad)

bib/20900742	Kellgrens Aeneas
bib/21086660	Ajax
bib/21504542	Ajax (digitalisering)
bib/18431358	Gethes dagbok
bib/12299985	Avrivningar (samling)
